Trans	Position
ENST00000659048.2	1251
ENST00000780221.1	957
ENST00000685968.2	1196
ENST00000780220.1	1059
ENST00000418833.2	1240
ENST00000780222.1	878
ENST00000689419.3	708
ENST00000702056.2	886
ENST00000702620.2	934
ENST00000690954.1	697
ENST00000576232.2	1047
ENST00000570344.2	1043
ENST00000447725.2	907
ENST00000448629.9	882
ENST00000444362.3	839
ENST00000572242.2	1609
ENST00000659048.2	1307
ENST00000780221.1	1013
ENST00000685968.2	1252
ENST00000780220.1	1115
ENST00000418833.2	1296
ENST00000780222.1	934
ENST00000689419.3	764
ENST00000702056.2	942
ENST00000702620.2	990
ENST00000690954.1	753
ENST00000576232.2	1103
ENST00000570344.2	1099
ENST00000447725.2	963
ENST00000448629.9	900
ENST00000444362.3	857
ENST00000572242.2	1627
ENST00000659048.2	1325
ENST00000780221.1	1031
ENST00000685968.2	1270
ENST00000780220.1	1133
ENST00000418833.2	1314
ENST00000780222.1	952
ENST00000689419.3	782
ENST00000702056.2	960
ENST00000702620.2	1008
ENST00000690954.1	771
ENST00000576232.2	1121
ENST00000570344.2	1117
ENST00000447725.2	981
ENST00000448629.9	1788
ENST00000444362.3	1745
ENST00000572242.2	2515
ENST00000659048.2	2213
ENST00000685968.2	2158
ENST00000780220.1	2021
ENST00000780222.1	1840
ENST00000689419.3	1670
ENST00000702056.2	1848
ENST00000702620.2	1896
ENST00000690954.1	1659
ENST00000570344.2	2005
ENST00000453521.1	844
ENST00000344843.12	476
ENST00000493287.5	280
ENST00000487659.1	1469
ENST00000448629.9	1792
ENST00000444362.3	1749
ENST00000572242.2	2519
ENST00000659048.2	2217
ENST00000685968.2	2162
ENST00000780220.1	2025
ENST00000780222.1	1844
ENST00000689419.3	1674
ENST00000702056.2	1852
ENST00000702620.2	1900
ENST00000690954.1	1663
ENST00000570344.2	2009
ENST00000453521.1	848
ENST00000344843.12	480
ENST00000493287.5	284
ENST00000487659.1	1473
ENST00000344843.12	112
ENST00000487659.1	112
ENST00000482352.1	112
ENST00000338660.5	540
ENST00000476993.2	768
ENST00000338660.5	547
ENST00000476993.2	775
ENST00000338660.5	631
ENST00000476993.2	859
ENST00000338660.5	658
ENST00000476993.2	886
ENST00000338660.5	664
ENST00000476993.2	892
ENST00000338660.5	1463
ENST00000476993.2	1691
ENST00000338660.5	1489
ENST00000476993.2	1717
ENST00000338660.5	1505
ENST00000476993.2	1733
ENST00000338660.5	1734
ENST00000476993.2	1962
ENST00000338660.5	1800
ENST00000476993.2	2028
ENST00000338660.5	1809
ENST00000476993.2	2037
ENST00000338660.5	1816
ENST00000476993.2	2044
ENST00000338660.5	1851
ENST00000476993.2	2079
ENST00000338660.5	1860
ENST00000476993.2	2088
ENST00000338660.5	1867
ENST00000476993.2	2095
ENST00000338660.5	2116
ENST00000476993.2	2344
ENST00000291386.4	901
ENST00000378726.1	1855
ENST00000291386.4	1010
ENST00000378726.1	1964
ENST00000291386.4	1098
ENST00000378726.1	2052
ENST00000291386.4	582
ENST00000378726.1	52
ENST00000378725.3	531
ENST00000422725.4	164
ENST00000422725.4	230
ENST00000617444.5	5541
ENST00000611123.1	5055
ENST00000480991.1	1967
ENST00000617444.5	5695
ENST00000611123.1	5209
ENST00000480991.1	2121
ENST00000617444.5	5882
ENST00000611123.1	5396
ENST00000480991.1	2308
ENST00000617444.5	5973
ENST00000611123.1	5487
ENST00000480991.1	2399
ENST00000617444.5	6060
ENST00000611123.1	5574
ENST00000480991.1	2486
ENST00000617444.5	6170
ENST00000611123.1	5684
ENST00000480991.1	2596
ENST00000401096.2	125
ENST00000378567.8	2023
ENST00000400921.6	1937
ENST00000461106.6	1759
ENST00000479263.5	1385
ENST00000478770.6	1459
ENST00000505322.5	1499
ENST00000400919.7	933
ENST00000469733.5	1800
ENST00000428120.5	1833
ENST00000414253.5	1736
ENST00000378567.8	2124
ENST00000400921.6	2038
ENST00000461106.6	1860
ENST00000479263.5	1486
ENST00000505322.5	1600
ENST00000400919.7	1034
ENST00000469733.5	1901
ENST00000428120.5	1934
ENST00000414253.5	1837
ENST00000378536.5	755
ENST00000378536.5	773
ENST00000378536.5	1194
ENST00000378536.5	1254
ENST00000378536.5	1259
ENST00000378536.5	2911
ENST00000378536.5	2942
ENST00000378536.5	2954
ENST00000378536.5	2989
ENST00000378536.5	2993
ENST00000378536.5	3029
ENST00000378536.5	3115
ENST00000378536.5	3159
ENST00000378536.5	3195
ENST00000378536.5	3222
ENST00000378536.5	3603
ENST00000378536.5	3650
ENST00000378536.5	3730
ENST00000378536.5	3763
ENST00000378536.5	3768
ENST00000378536.5	3817
ENST00000378536.5	4070
ENST00000378536.5	4154
ENST00000378536.5	4161
ENST00000378513.7	690
ENST00000605895.6	724
ENST00000378512.5	785
ENST00000488353.2	2385
ENST00000462129.1	490
ENST00000378513.7	717
ENST00000605895.6	751
ENST00000378512.5	812
ENST00000488353.2	2412
ENST00000462129.1	517
ENST00000378513.7	737
ENST00000605895.6	771
ENST00000378512.5	832
ENST00000488353.2	2432
ENST00000462129.1	537
ENST00000378513.7	820
ENST00000605895.6	854
ENST00000378512.5	915
ENST00000378513.7	857
ENST00000605895.6	891
ENST00000378512.5	952
ENST00000378513.7	1132
ENST00000605895.6	1166
ENST00000378512.5	1227
ENST00000378513.7	1162
ENST00000605895.6	1196
ENST00000378512.5	1257
ENST00000378513.7	2935
ENST00000605895.6	2969
ENST00000288774.8	2448
ENST00000447513.7	2378
ENST00000650293.1	1213
ENST00000507596.5	1490
ENST00000378466.9	2260
ENST00000435556.8	2143
ENST00000493183.5	795
ENST00000474659.5	714
ENST00000444521.6	947
ENST00000378425.9	785
ENST00000419916.8	866
ENST00000378424.9	885
ENST00000537325.6	736
ENST00000378427.6	813
ENST00000464043.5	728
ENST00000484099.5	695
ENST00000476686.1	625
ENST00000444521.6	1855
ENST00000378425.9	1693
ENST00000419916.8	1774
ENST00000378424.9	1793
ENST00000378427.6	1721
ENST00000484099.5	1603
ENST00000476686.1	1533
ENST00000444521.6	1865
ENST00000378425.9	1703
ENST00000419916.8	1784
ENST00000378424.9	1803
ENST00000378427.6	1731
ENST00000484099.5	1613
ENST00000476686.1	1543
ENST00000444521.6	1870
ENST00000378425.9	1708
ENST00000419916.8	1789
ENST00000378424.9	1808
ENST00000378427.6	1736
ENST00000484099.5	1618
ENST00000476686.1	1548
ENST00000444521.6	1876
ENST00000378425.9	1714
ENST00000419916.8	1795
ENST00000378424.9	1814
ENST00000378427.6	1742
ENST00000484099.5	1624
ENST00000476686.1	1554
ENST00000444521.6	2674
ENST00000378425.9	2512
ENST00000419916.8	2593
ENST00000378424.9	2612
ENST00000378427.6	2540
ENST00000484099.5	2422
ENST00000476686.1	2352
ENST00000444521.6	2692
ENST00000378425.9	2530
ENST00000419916.8	2611
ENST00000378424.9	2630
ENST00000378427.6	2558
ENST00000484099.5	2440
ENST00000476686.1	2370
ENST00000378378.9	528
ENST00000378344.7	1105
ENST00000344579.5	893
ENST00000378344.7	1119
ENST00000344579.5	907
ENST00000378344.7	1160
ENST00000344579.5	948
ENST00000378344.7	2226
ENST00000344579.5	2014
ENST00000378344.7	2312
ENST00000344579.5	2100
ENST00000378344.7	2336
ENST00000344579.5	2124
ENST00000419973.2	363
ENST00000452079.5	4114
ENST00000648600.1	2718
ENST00000423764.6	3155
ENST00000647817.1	3337
ENST00000649123.1	2972
ENST00000650037.1	2194
ENST00000649348.1	2364
ENST00000636630.1	2159
ENST00000587071.5	367
ENST00000419973.2	425
ENST00000452079.5	4176
ENST00000648600.1	2780
ENST00000423764.6	3217
ENST00000647817.1	3399
ENST00000649123.1	3034
ENST00000650037.1	2256
ENST00000649348.1	2426
ENST00000636630.1	2221
ENST00000587071.5	429
ENST00000648526.1	733
ENST00000723235.1	41
ENST00000419973.2	483
ENST00000452079.5	4234
ENST00000648600.1	2838
ENST00000423764.6	3275
ENST00000647817.1	3457
ENST00000649123.1	3092
ENST00000648270.1	975
ENST00000650037.1	2314
ENST00000648553.1	1820
ENST00000649348.1	2484
ENST00000636630.1	2279
ENST00000587071.5	487
ENST00000648526.1	771
ENST00000723235.1	79
ENST00000419973.2	521
ENST00000452079.5	4272
ENST00000648600.1	2876
ENST00000423764.6	3313
ENST00000647817.1	3495
ENST00000649123.1	3130
ENST00000648270.1	1013
ENST00000650037.1	2352
ENST00000648553.1	1858
ENST00000649348.1	2522
ENST00000636630.1	2317
ENST00000587071.5	525
ENST00000648526.1	777
ENST00000723235.1	85
ENST00000419973.2	527
ENST00000452079.5	4278
ENST00000648600.1	2882
ENST00000423764.6	3319
ENST00000647817.1	3501
ENST00000649123.1	3136
ENST00000648270.1	1019
ENST00000650037.1	2358
ENST00000648553.1	1864
ENST00000649348.1	2528
ENST00000636630.1	2323
ENST00000587071.5	531
ENST00000648526.1	16
ENST00000418088.6	501
ENST00000648432.2	16
ENST00000648479.1	16
ENST00000452079.5	16
ENST00000650545.1	242
ENST00000647831.1	16
ENST00000648600.1	16
ENST00000423764.6	16
ENST00000650039.2	16
ENST00000647817.1	16
ENST00000649123.1	16
ENST00000648270.1	16
ENST00000650037.1	305
ENST00000649468.1	16
ENST00000648553.1	16
ENST00000649348.1	16
ENST00000636630.1	603
ENST00000649413.2	16
ENST00000649290.1	16
ENST00000647686.1	242
ENST00000637775.1	231
ENST00000648526.1	40
ENST00000418088.6	525
ENST00000648432.2	40
ENST00000648479.1	40
ENST00000452079.5	40
ENST00000650545.1	266
ENST00000647831.1	40
ENST00000648600.1	40
ENST00000423764.6	40
ENST00000650039.2	40
ENST00000647817.1	40
ENST00000649123.1	40
ENST00000648270.1	40
ENST00000650037.1	329
ENST00000649468.1	40
ENST00000648553.1	40
ENST00000649348.1	40
ENST00000636630.1	627
ENST00000649413.2	40
ENST00000649290.1	40
ENST00000647686.1	266
ENST00000637775.1	255
ENST00000418088.6	282
ENST00000648432.2	962
ENST00000648479.1	962
ENST00000452079.5	962
ENST00000650545.1	1188
ENST00000647831.1	962
ENST00000648600.1	962
ENST00000423764.6	962
ENST00000650039.2	962
ENST00000647817.1	962
ENST00000649123.1	962
ENST00000650037.1	132
ENST00000649468.1	962
ENST00000649348.1	962
ENST00000636630.1	132
ENST00000649413.2	962
ENST00000649290.1	962
ENST00000647686.1	1188
ENST00000637775.1	41
ENST00000636250.1	109
ENST00000418088.6	414
ENST00000648432.2	1094
ENST00000648479.1	1094
ENST00000452079.5	1094
ENST00000650545.1	1320
ENST00000647831.1	1094
ENST00000648600.1	1094
ENST00000423764.6	1094
ENST00000650039.2	1094
ENST00000647817.1	1094
ENST00000649123.1	1094
ENST00000650037.1	264
ENST00000649468.1	1094
ENST00000649348.1	1094
ENST00000636630.1	264
ENST00000649413.2	1094
ENST00000649290.1	1094
ENST00000647686.1	1320
ENST00000637775.1	173
ENST00000378251.3	3397
ENST00000378251.3	747
ENST00000486765.5	1256
ENST00000474140.1	299
ENST00000361605.4	392
ENST00000680169.1	334
ENST00000679946.1	371
ENST00000681823.1	520
ENST00000680279.1	625
ENST00000680054.1	546
ENST00000679703.1	694
ENST00000680535.1	1200
ENST00000486765.5	1280
ENST00000474140.1	323
ENST00000361605.4	416
ENST00000680169.1	358
ENST00000679946.1	395
ENST00000681823.1	544
ENST00000680279.1	649
ENST00000680054.1	570
ENST00000679703.1	718
ENST00000680535.1	1224
ENST00000486765.5	1344
ENST00000474140.1	387
ENST00000361605.4	480
ENST00000680169.1	422
ENST00000679946.1	459
ENST00000681823.1	608
ENST00000680279.1	713
ENST00000680054.1	634
ENST00000679703.1	782
ENST00000680535.1	1288
ENST00000679929.1	346
ENST00000234875.9	1598
ENST00000234875.9	1621
ENST00000234875.9	1977
ENST00000480661.1	2195
ENST00000497965.5	702
ENST00000471204.5	440
ENST00000465387.5	424
ENST00000484532.6	57
ENST00000234875.9	91
ENST00000480661.1	57
ENST00000497965.5	411
ENST00000471204.5	226
ENST00000465387.5	241
ENST00000462296.5	424
ENST00000465335.1	633
ENST00000484532.6	65
ENST00000234875.9	99
ENST00000480661.1	65
ENST00000497965.5	419
ENST00000471204.5	234
ENST00000465387.5	249
ENST00000462296.5	432
ENST00000465335.1	641
ENST00000480661.1	1909
ENST00000343813.10	2465
ENST00000343813.10	2499
ENST00000343813.10	3178
ENST00000489498.5	995
ENST00000343813.10	3185
ENST00000489498.5	1002
ENST00000343813.10	3235
ENST00000489498.5	1052
ENST00000343813.10	3464
ENST00000489498.5	1281
ENST00000343813.10	3489
ENST00000489498.5	1306
ENST00000343813.10	3498
ENST00000489498.5	1315
ENST00000343813.10	3510
ENST00000489498.5	1327
ENST00000343813.10	3527
ENST00000489498.5	1344
ENST00000343813.10	3608
ENST00000489498.5	1425
ENST00000343813.10	3652
ENST00000489498.5	1469
ENST00000343813.10	3661
ENST00000489498.5	1478
ENST00000343813.10	4128
ENST00000489498.5	1945
ENST00000343813.10	4250
ENST00000489498.5	2067
ENST00000474756.1	682
ENST00000343813.10	4343
ENST00000489498.5	2160
ENST00000474756.1	775
ENST00000343813.10	4426
ENST00000489498.5	2243
ENST00000474756.1	858
ENST00000343813.10	4430
ENST00000489498.5	2247
ENST00000474756.1	862
ENST00000343813.10	4467
ENST00000489498.5	2284
ENST00000474756.1	899
ENST00000343813.10	4485
ENST00000489498.5	2302
ENST00000474756.1	917
ENST00000343813.10	4501
ENST00000489498.5	2318
ENST00000474756.1	933
ENST00000343813.10	4508
ENST00000489498.5	2325
ENST00000474756.1	940
ENST00000343813.10	4553
ENST00000489498.5	2370
ENST00000474756.1	985
ENST00000343813.10	4629
ENST00000489498.5	2446
ENST00000474756.1	1061
ENST00000706530.1	5
ENST00000377898.4	5
ENST00000706530.1	629
ENST00000377898.4	629
ENST00000706530.1	635
ENST00000377898.4	635
ENST00000706530.1	672
ENST00000377898.4	672
ENST00000706530.1	705
ENST00000377898.4	705
ENST00000645284.1	2646
ENST00000461727.6	987
ENST00000475228.6	808
ENST00000633239.1	615
ENST00000434576.2	496
ENST00000477679.2	521
ENST00000377674.9	564
ENST00000319084.9	470
ENST00000435905.5	475
ENST00000377674.9	575
ENST00000319084.9	481
ENST00000435905.5	486
ENST00000377674.9	628
ENST00000319084.9	534
ENST00000435905.5	539
ENST00000377674.9	678
ENST00000319084.9	584
ENST00000435905.5	589
ENST00000377658.8	3740
ENST00000377663.3	3799
ENST00000377658.8	4304
ENST00000377663.3	4363
ENST00000467612.5	873
ENST00000496707.5	641
ENST00000377658.8	4321
ENST00000377663.3	4380
ENST00000467612.5	890
ENST00000496707.5	658
ENST00000377658.8	544
ENST00000377663.3	544
ENST00000377648.5	650
ENST00000377648.5	662
ENST00000377648.5	677
ENST00000377648.5	713
ENST00000377648.5	773
ENST00000377648.5	787
ENST00000377648.5	851
ENST00000377648.5	916
ENST00000377648.5	931
ENST00000377648.5	974
ENST00000377648.5	995
ENST00000377648.5	1007
ENST00000377648.5	1184
ENST00000377648.5	1235
ENST00000377648.5	1239
ENST00000377648.5	1321
ENST00000377648.5	1395
ENST00000377648.5	1412
ENST00000377648.5	1475
ENST00000377648.5	1480
ENST00000054650.9	840
ENST00000307896.10	719
ENST00000484669.6	512
ENST00000487819.5	760
ENST00000472925.1	973
ENST00000054650.9	852
ENST00000307896.10	731
ENST00000484669.6	524
ENST00000487819.5	772
ENST00000377627.7	1085
ENST00000451196.5	1191
ENST00000377577.10	2119
ENST00000690452.1	3071
ENST00000689025.1	2467
ENST00000691481.1	2483
ENST00000686243.1	2630
ENST00000688524.1	2470
ENST00000685129.1	2473
ENST00000472414.2	2768
ENST00000689169.1	2790
ENST00000685360.1	3151
ENST00000689474.1	3922
ENST00000690062.1	2215
ENST00000465508.6	1366
ENST00000377627.7	1529
ENST00000377577.10	2563
ENST00000690452.1	3515
ENST00000689025.1	2911
ENST00000691481.1	2927
ENST00000686243.1	3074
ENST00000688524.1	2914
ENST00000685129.1	2917
ENST00000472414.2	3212
ENST00000689169.1	3234
ENST00000685360.1	3595
ENST00000689474.1	4366
ENST00000690062.1	2659
ENST00000465508.6	1810
ENST00000377627.7	1891
ENST00000377577.10	2925
ENST00000690452.1	3877
ENST00000689025.1	3273
ENST00000691481.1	3289
ENST00000686243.1	3436
ENST00000688524.1	3276
ENST00000685129.1	3279
ENST00000472414.2	3574
ENST00000689169.1	3596
ENST00000685360.1	3957
ENST00000689474.1	4728
ENST00000690062.1	3021
ENST00000465508.6	2172
ENST00000294401.11	1934
ENST00000377627.7	1907
ENST00000377577.10	2941
ENST00000690452.1	3893
ENST00000689025.1	3289
ENST00000691481.1	3305
ENST00000686243.1	3452
ENST00000688524.1	3292
ENST00000685129.1	3295
ENST00000472414.2	3590
ENST00000689169.1	3612
ENST00000685360.1	3973
ENST00000689474.1	4744
ENST00000690062.1	3037
ENST00000465508.6	2188
ENST00000294401.11	1950
ENST00000451196.5	264
ENST00000377577.10	352
ENST00000690452.1	358
ENST00000686243.1	877
ENST00000688524.1	281
ENST00000685129.1	358
ENST00000472414.2	358
ENST00000689474.1	355
ENST00000690062.1	358
ENST00000294401.11	460
ENST00000426784.1	338
ENST00000473993.5	284
ENST00000685485.1	355
ENST00000691444.1	281
ENST00000688162.1	355
ENST00000469318.5	146
ENST00000485073.5	340
ENST00000460594.5	359
ENST00000693337.1	1470
ENST00000377532.8	2789
ENST00000613533.4	2743
ENST00000614998.4	2743
ENST00000361923.2	2630
ENST00000377532.8	2879
ENST00000613533.4	2833
ENST00000614998.4	2833
ENST00000361923.2	2720
ENST00000493373.5	42
ENST00000460192.5	82
ENST00000493678.5	53
ENST00000377493.9	44
ENST00000338639.10	92
ENST00000465354.5	55
ENST00000377491.5	197
ENST00000377488.5	142
ENST00000497113.1	5
ENST00000493373.5	49
ENST00000460192.5	89
ENST00000493678.5	60
ENST00000377493.9	51
ENST00000338639.10	99
ENST00000465354.5	62
ENST00000377491.5	204
ENST00000377488.5	149
ENST00000497113.1	12
ENST00000493373.5	622
ENST00000493678.5	633
ENST00000377493.9	564
ENST00000338639.10	672
ENST00000377491.5	777
ENST00000377488.5	722
ENST00000469225.1	479
ENST00000493678.5	646
ENST00000377493.9	577
ENST00000338639.10	685
ENST00000377491.5	790
ENST00000377488.5	735
ENST00000469225.1	492
ENST00000493678.5	668
ENST00000377493.9	599
ENST00000338639.10	707
ENST00000377491.5	812
ENST00000377488.5	757
ENST00000469225.1	514
ENST00000493678.5	708
ENST00000377493.9	639
ENST00000338639.10	747
ENST00000377491.5	852
ENST00000469225.1	554
ENST00000493678.5	713
ENST00000377493.9	644
ENST00000338639.10	752
ENST00000377491.5	857
ENST00000469225.1	559
ENST00000377482.10	2173
ENST00000467067.1	185
ENST00000377482.10	2266
ENST00000467067.1	278
ENST00000377482.10	2324
ENST00000467067.1	336
ENST00000377482.10	2650
ENST00000467067.1	662
ENST00000469499.5	548
ENST00000377482.10	2716
ENST00000467067.1	728
ENST00000469499.5	614
ENST00000377482.10	2853
ENST00000467067.1	865
ENST00000469499.5	751
ENST00000487559.1	543
ENST00000377482.10	2932
ENST00000467067.1	944
ENST00000469499.5	830
ENST00000487559.1	622
ENST00000337907.7	3986
ENST00000400908.7	3976
ENST00000377464.5	2702
ENST00000465125.2	2368
ENST00000476556.5	2254
ENST00000656437.1	3530
ENST00000234590.10	1453
ENST00000464920.2	2220
ENST00000647408.1	1454
ENST00000646370.2	1509
ENST00000234590.10	1481
ENST00000464920.2	2248
ENST00000647408.1	1482
ENST00000646370.2	1537
ENST00000234590.10	1487
ENST00000464920.2	2254
ENST00000647408.1	1488
ENST00000646370.2	1543
ENST00000234590.10	1578
ENST00000464920.2	2345
ENST00000647408.1	1579
ENST00000646370.2	1634
ENST00000234590.10	1600
ENST00000464920.2	2367
ENST00000647408.1	1601
ENST00000646370.2	1656
ENST00000234590.10	1610
ENST00000464920.2	2377
ENST00000647408.1	1611
ENST00000646370.2	1666
ENST00000234590.10	1653
ENST00000464920.2	2420
ENST00000647408.1	1654
ENST00000646370.2	1709
ENST00000234590.10	1687
ENST00000464920.2	2454
ENST00000647408.1	1688
ENST00000646370.2	1743
ENST00000234590.10	1252
ENST00000464920.2	2021
ENST00000647408.1	1255
ENST00000646370.2	1315
ENST00000645609.1	1779
