contig	position	read_name	-3_event_level_mean	-3_event_stdv	-3_event_length	-3_standardized_level	-3_event_level_median	-3_event_stdv_median	-3_event_length_median	-3_diff_stdv	-2_event_level_mean	-2_event_stdv	-2_event_length	-2_standardized_level	-2_event_level_median	-2_event_stdv_median	-2_event_length_median	-2_diff_stdv	-1_event_level_mean	-1_event_stdv	-1_event_length	-1_standardized_level	-1_event_level_median	-1_event_stdv_median	-1_event_length_median	-1_diff_stdv	0_event_level_mean	0_event_stdv	0_event_length	0_standardized_level	0_event_level_median	0_event_stdv_median	0_event_length_median	0_diff_stdv	+1_event_level_mean	+1_event_stdv	+1_event_length	+1_standardized_level	+1_event_level_median	+1_event_stdv_median	+1_event_length_median	+1_diff_stdv	+2_event_level_mean	+2_event_stdv	+2_event_length	+2_standardized_level	+2_event_level_median	+2_event_stdv_median	+2_event_length_median	+2_diff_stdv	+3_event_level_mean	+3_event_stdv	+3_event_length	+3_standardized_level	+3_event_level_median	+3_event_stdv_median	+3_event_length_median	+3_diff_stdv
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	2511	348029e7-c2f8-4115-83e7-d19c4ed28c16	108.82	2.634	0.01096	0.27	108.82	2.634	0.01096	-0.41336304	124.18	3.535	0.00332	0.885	124.18	3.535	0.00332	-0.26200417	80.06	3.783	0.00664	0.23	80.06	3.783	0.00664	0.34626335	69.3225	1.532	0.005065	0.435	69.3	1.59375	0.00382	-0.25990337	76.05	4.308	0.00564	1.39	76.05	4.308	0.00564	0.8331915	95.475	2.386	0.021245	0.375	95.475	2.386	0.021245	-0.16280702	112.805	2.967	0.01577	0.925	112.805	2.967	0.01577	-0.33919823
ENST00000416718.2|ENSG00000198744.5|OTTHUMG00000002337.2|OTTHUMT00000006719.2|MTCO3P12-201|MTCO3P12|547|unprocessed_pseudogene|	156	7939123e-4a33-4013-a5ef-02485c3c34d5	95.55	0.727	0.00398	1.02	95.55	0.727	0.00398	-0.76085526	95.36535	1.2178237	0.009911442	0.45028847	95.465	1.2825	0.007055	-0.64700764	84.18	2.107	0.005975	0.345	84.18	2.107	0.005975	-0.25017795	78.28	1.6905	0.003155	1.295	78.28	1.6905	0.003155	-0.19881517	86.08417	1.06275	0.008190833	-0.12833333	86.2125	1.03225	0.0074725	-0.5010563	96.695	2.885	0.00714	0.87	96.695	2.885	0.00714	-0.54060507	88.16	2.1555	0.010125	0.435	88.16	2.1555	0.010125	-0.18041825
ENST00000416718.2|ENSG00000198744.5|OTTHUMG00000002337.2|OTTHUMT00000006719.2|MTCO3P12-201|MTCO3P12|547|unprocessed_pseudogene|	183	7939123e-4a33-4013-a5ef-02485c3c34d5	87.735	1.3298334	0.0039833332	0.083333336	87.435	1.3205	0.00332	-0.56255484	95.16	3.37	0.01228	0.3	95.16	3.37	0.01228	-0.023188407	87.824165	2.39175	0.0052575	-0.4675	87.945	2.3105	0.0039025	-0.24787736	73.88	2.576	0.0083825	-0.4175	73.88	2.576	0.0083825	0.37021276	75.63	2.571	0.00398	-0.75	75.63	2.571	0.00398	-0.19150944	81.83	4.58	0.01428	-0.48	81.83	4.58	0.01428	0.14786968	109.19	1.9105	0.003155	-0.94	109.19	1.9105	0.003155	-0.6642355
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	2384	b688cf5d-62aa-40ea-b8b1-1c603675c873	116.6	1.693	0.00299	-0.4	116.6	1.693	0.00299	-0.4659306	104.68	10.096	0.00266	-2.15	104.68	10.096	0.00266	1.1077244	84.505	7.2125	0.00448	0.83	84.505	7.2125	0.00448	1.2680818	92.92	8.26675	0.005975	1.29	92.92	8.26675	0.005975	0.6241159	113.3	12.847	0.00398	-0.08	113.3	12.847	0.00398	0.638648	125.3	6.949	0.004315	0.71	125.3	6.949	0.004315	0.3086629	105.62	5.241	0.00332	-1.45	105.62	5.241	0.00332	0.47633803
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	2417	f8eb0858-2fbf-49c7-9447-a9a9044c53a8	127.88	4.134	0.00664	0.87	127.88	4.134	0.00664	-0.29574105	135.27	2.629	0.00398	1.5	135.27	2.629	0.00398	-0.4511482	83.35	1.8825	0.003815	1.1475	83.35	1.8825	0.003815	-0.33007118	79.87	1.951	0.00465	1.87	79.87	1.951	0.00465	-0.07535545	94.3275	1.539	0.0053125	1.76	94.3275	1.539	0.0053125	-0.49039736	106.835	2.259	0.007305	0.73	106.835	2.259	0.007305	-0.15708955	93.45	2.2825	0.00415	-1.635	93.45	2.2825	0.00415	-0.3384058
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	2511	f8eb0858-2fbf-49c7-9447-a9a9044c53a8	109.905	3.8525	0.00664	0.455	109.905	3.8525	0.00664	-0.14198218	125.9	8.184	0.0073	1.16	125.9	8.184	0.0073	0.7085595	79.635	2.4775	0.003155	0.12	79.635	2.4775	0.003155	-0.1183274	69.48	1.263	0.0093	0.5	69.48	1.263	0.0093	-0.3898551	70.066666	1.7503333	0.005478333	-0.49666667	69.315	1.4105	0.00581	-0.25517732	89.06	2.6725	0.00415	-1.3	89.06	2.6725	0.00415	-0.062280703	112.51	1.821	0.00332	0.89	112.51	1.821	0.00332	-0.59443206
ENST00000416718.2|ENSG00000198744.5|OTTHUMG00000002337.2|OTTHUMT00000006719.2|MTCO3P12-201|MTCO3P12|547|unprocessed_pseudogene|	54	fb60cc80-5902-4823-8a20-d8d66158c9a6	94.1475	2.9435	0.0053125	0.64	94.1475	2.9435	0.0053125	-0.031743422	95.75	4.534	0.00465	0.41	95.75	4.534	0.00465	0.3142029	84.165	5.3825	0.00714	-0.55	84.165	5.3825	0.00714	0.6926101	77.2325	4.891	0.0150225	-1.0075	77.2325	4.891	0.0150225	-0.039096266	90.11	5.311	0.003485	0.09	90.11	5.311	0.003485	-0.32257652	102.48	5.585	0.00764	-2.03	102.48	5.585	0.00764	0.37901235	114.21	6.245	0.00564	0.055	114.21	6.245	0.00564	0.5419753
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	1210	061d48f8-f488-4507-ad08-a36420dd10b7	104.95	1.4773333	0.0115083335	-0.28666666	105.495	1.574	0.006805	-0.44875622	99.31	3.579	0.00498	-0.02	99.31	3.579	0.00498	0.037391305	79.5	1.439	0.00498	-2.08	79.5	1.439	0.00498	-0.5474843	82.03	1.368	0.013115	0.47	82.03	1.368	0.013115	-0.35774648	92.39	2.773	0.01162	0.24	92.39	2.773	0.01162	-0.5584395	74.35125	1.166375	0.00991875	-0.12625	74.5725	1.2215	0.0072225	-0.44458333	76.04	1.087	0.00598	-0.51	76.04	1.087	0.00598	-0.6131673
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	227	062eb6f8-fc67-433b-ad2e-dc6c87209c3a	126.24	2.089	0.00266	0.7	126.24	2.089	0.00266	-0.64412266	107.04	18.203	0.00232	-3.05	107.04	18.203	0.00232	2.8002088	74.22	1.873	0.00498	-1.34	74.22	1.873	0.00498	-0.33345196	71.21	2.167	0.00564	-0.415	71.21	2.167	0.00564	0.027014218	101.93	2.099	0.00564	1.4	101.93	2.099	0.00564	-0.58762276	119.18	2.329	0.0073	1.86	119.18	2.329	0.0073	-0.22880794	112.44	8.226	0.00498	-1.25	112.44	8.226	0.00498	1.3171831
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	992	069ed2c6-5e95-4d4a-86b2-b0c5c332255a	118.58	2.197	0.00299	0.64	118.58	2.197	0.00299	-0.30694005	122.57	7.589	0.00797	0.67	122.57	7.589	0.00797	0.58434236	81.73	1.932	0.00697	-0.66	81.73	1.932	0.00697	-0.39245284	74.6975	1.4825	0.0042325	-1.255	74.6975	1.4825	0.0042325	-0.21143617	81.39	1.08	0.00398	-1.03	81.39	1.08	0.00398	-0.6043956	82.1	1.3745	0.015105	-0.09	82.1	1.3745	0.015105	-0.4320248	77.484	1.3721	0.007536	-0.092	76.635	1.267	0.00664	-0.30350253
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	1754	069ed2c6-5e95-4d4a-86b2-b0c5c332255a	119.83	10.332	0.00232	-1.23	119.83	10.332	0.00232	0.8582734	103.43912	2.9527059	0.0059790625	0.58980393	103.1125	2.92975	0.003485	-0.14414322	85.065	3.7225	0.00365	-2.06	85.065	3.7225	0.00365	0.3635531	92.68	1.443	0.00232	3.18	92.68	1.443	0.00232	-0.4936842	81.583336	1.993	0.0029866667	-0.26666668	82.02	1.858	0.00299	-0.13347825	96.14667	2.6608334	0.0045925	0.4975	96.0325	2.451	0.004315	-0.46569613	102.9025	1.712	0.00448	-0.535	102.9025	1.712	0.00448	-0.6775895
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	1940	079454c6-3496-49aa-9fd6-099e593fe0b6	121.77	3.913	0.01062	0.1	121.77	3.913	0.01062	-0.33339012	130.82	3.958	0.005975	0.86	130.82	3.958	0.005975	-0.17369519	76.77	3.414	0.01494	-0.88	76.77	3.414	0.01494	0.21494661	72.15	2.246	0.00498	0.47	72.15	2.246	0.00498	-0.04425532	96.985	2.3315	0.00664	0.815	96.985	2.3315	0.00664	-0.18192983	97.25	1.319	0.00332	-1.88	97.25	1.319	0.00332	-0.70623606	114.95	4.17	0.01129	-0.53	114.95	4.17	0.01129	-0.25
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	2417	079454c6-3496-49aa-9fd6-099e593fe0b6	124.07	3.485	0.00398	0.41	124.07	3.485	0.00398	-0.40630323	127.7325	4.16575	0.0083	0.3525	127.7325	4.16575	0.0083	-0.13032359	78.915	1.47	0.005975	-0.03	78.915	1.47	0.005975	-0.47686833	79.66	1.238	0.00232	1.9	79.66	1.238	0.00232	-0.41327015	89.205	2.0935	0.00581	0.53	89.205	2.0935	0.00581	-0.3067881	108.55	1.785	0.0073	1.28	108.55	1.785	0.0073	-0.33395523	97.43	5.178	0.01361	-0.82	97.43	5.178	0.01361	0.5008696
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	1210	09632391-1575-48a8-b208-82ffb20f6453	106.52	1.7455	0.010125	0.18	106.52	1.7455	0.010125	-0.34869403	99.49	4.032	0.0166	0.03	99.49	4.032	0.0166	0.16869566	87.3	1.498	0.00232	-0.15	87.3	1.498	0.00232	-0.52893084	80.76	1.8745	0.009295	0.0	80.76	1.8745	0.009295	-0.11995305	83.82	2.6785	0.00498	-0.86	83.82	2.6785	0.00498	-0.5734873	74.889	1.440575	0.01067225	0.07825	75.0525	1.24075	0.00805	-0.3140119	79.42	3.423	0.00299	0.46	79.42	3.423	0.00299	0.21814947
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	1837	0b21a57b-cc75-4374-8584-39d1d9a3e805	106.78	5.33	0.00996	-0.07	106.78	5.33	0.00996	0.18708241	110.25	5.726	0.00598	-1.33	110.25	5.726	0.00598	0.1954071	74.98167	2.9470832	0.0056175	0.5475	78.795	2.81475	0.0053975	0.048784103	66.775	1.37975	0.003735	-0.165	66.775	1.37975	0.003735	-0.3334541	81.76	3.559	0.00664	1.04	81.76	3.559	0.00664	0.28021583	105.19	5.831	0.00299	1.91	105.19	5.831	0.00299	0.17088354	111.49	4.375	0.00266	-0.78	111.49	4.375	0.00266	0.08024691
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	2141	1b86a6d1-d254-4726-be3b-50f01b333bd2	114.195	5.1455	0.01245	-0.42	114.195	5.1455	0.01245	0.6231861	121.8	2.408	0.00232	0.55	121.8	2.408	0.00232	-0.49728602	82.1445	2.52225	0.007852	0.285	81.8775	1.82975	0.005895	-0.20683962	88.27	7.098	0.00266	0.07	88.27	7.098	0.00266	0.394499	108.31333	2.925	0.0049233334	0.015	109.7	2.4585	0.005145	-0.031456955	113.88	1.639	0.00332	0.34	113.88	1.639	0.00332	-0.5753886	94.363335	2.4183333	0.01195	0.73333335	94.34	2.378	0.00996	-0.5248854
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	1895	1c572bd5-860f-44fb-ab19-6e3253e2fed3	100.215	3.263	0.00697	0.09	100.215	3.263	0.00697	-0.27327394	118.245	9.0445	0.00564	-0.035	118.245	9.0445	0.00564	0.8882046	79.77	2.38	0.00598	0.11	79.77	2.38	0.00598	-0.15302491	74.76	1.682	0.00299	-0.5	74.76	1.682	0.00299	-0.39496404	91.25	4.7955	0.002985	-0.275	91.25	4.7955	0.002985	-0.037048195	111.45	3.036	0.00498	-0.79	111.45	3.036	0.00498	-0.25037038	122.94	3.308	0.00764	0.65	122.94	3.308	0.00764	0.043533124
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	1837	23360352-85fb-4538-ae12-0d5d61d81503	107.54	5.707	0.00266	0.06	107.54	5.707	0.00266	0.27104676	123.51	8.253	0.00598	0.79	123.51	8.253	0.00598	0.7229645	78.86104	3.6615624	0.0062725	-0.0825	80.0575	3.73825	0.004815	0.30304715	67.51125	2.458	0.0036925	0.1075	67.1325	2.564	0.00307	0.18743962	74.03	2.595	0.00531	-1.08	74.03	2.595	0.00531	-0.06654676	97.545	3.0705	0.005645	0.685	97.545	3.0705	0.005645	-0.38343373	114.16	4.012	0.00963	-0.255	114.16	4.012	0.00963	-0.009382716
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	1210	2972efca-6bf8-4635-961b-3f2fed42c899	109.14	5.0315	0.00614	0.9	109.14	5.0315	0.00614	0.8774254	94.96	3.995	0.01162	-0.96	94.96	3.995	0.01162	0.15797101	90.41	3.36	0.00299	0.6	90.41	3.36	0.00299	0.056603774	80.015	1.8325	0.009295	-0.26	80.015	1.8325	0.009295	-0.13967136	85.615	3.336	0.004815	-0.58	85.615	3.336	0.004815	-0.46878982	75.37524	1.4195833	0.0065780953	0.24357143	75.2425	1.38775	0.0070575	-0.32400793	76.24	1.749	0.00631	-0.43	76.24	1.749	0.00631	-0.37758008
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	89	3488e945-fb7f-4c38-8aab-f26af079c190	106.91	2.394	0.00432	0.44	106.91	2.394	0.00432	-0.46681514	126.49	8.292	0.00398	0.7	126.49	8.292	0.00398	0.73110646	89.32	1.676	0.00564	0.17	89.32	1.676	0.00564	-0.3860806	78.9	3.156	0.00365	-0.47	78.9	3.156	0.00365	0.107368425	73.69	1.043	0.00531	1.05	73.69	1.043	0.00531	-0.5465217	77.51	1.414	0.00232	-1.15	77.51	1.414	0.00232	-0.4913669	98.26	1.888	0.00199	0.44	98.26	1.888	0.00199	-0.526817
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	2141	3b51b28e-0d35-4fb5-8b8f-5e8806fd8879	109.88	5.322	0.00299	-1.48	109.88	5.322	0.00299	0.67886436	107.64	6.709	0.02108	-1.745	107.64	6.709	0.02108	0.4006263	86.42	5.564	0.00863	1.33	86.42	5.564	0.00863	0.7496855	80.19	5.344	0.00432	-1.16	80.19	5.344	0.00432	0.04990177	110.0125	5.58275	0.00863	0.455	110.0125	5.58275	0.00863	0.8485927	109.94	4.04	0.0093	-0.45	109.94	4.04	0.0093	0.046632126	90.77	2.8431666	0.00581	0.18833333	92.265	2.8165	0.005645	-0.4414211
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	1852	3ce79c58-dfbe-4a17-ace0-ef0662afa38d	119.85	6.9735	0.007055	0.425	119.85	6.9735	0.007055	1.1998422	119.32	10.514	0.00564	0.17	119.32	10.514	0.00564	1.1949896	85.3725	3.4265	0.01021	0.255	85.3725	3.4265	0.01021	0.07751572	70.49	1.293	0.01029	-0.77	70.49	1.293	0.01029	-0.31223404	78.06	1.302	0.00432	0.91	78.06	1.302	0.00432	-0.53665483	69.68	0.984	0.00332	1.27	69.68	0.984	0.00332	-0.5246377	63.225	1.007	0.004315	-0.575	63.225	1.007	0.004315	-0.51352656
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	1946	3ce79c58-dfbe-4a17-ace0-ef0662afa38d	114.4	2.864	0.00299	-0.67	114.4	2.864	0.00299	-0.4848921	111.8	8.977	0.00664	2.77	111.8	8.977	0.00664	1.602029	95.19334	3.0346668	0.00642	0.74	95.45	2.952	0.00631	0.11159951	84.02	1.894	0.00365	1.32	84.02	1.894	0.00365	-0.21735537	74.17	1.3775	0.010625	-0.02	74.17	1.3775	0.010625	-0.33454105	68.07	0.779	0.00398	-0.26	68.07	0.779	0.00398	-0.66130435	68.51	2.718	0.00896	0.94	68.51	2.718	0.00896	0.31304348
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	1754	402bea4e-d5fd-4b14-bd71-8a23d4747018	120.485	2.61275	0.0093375	0.1425	129.36	2.44325	0.0082175	-0.5300809	97.92	2.5445833	0.008656667	-0.62833333	97.825	2.55325	0.00722	-0.2624396	96.48	1.617	0.00664	1.13	96.48	1.617	0.00664	-0.4076923	80.04	5.11	0.00465	-0.22	80.04	5.11	0.00465	0.79298246	84.58	2.192	0.02025	0.72	84.58	2.192	0.02025	-0.04695652	102.33	2.958	0.00896	1.43	102.33	2.958	0.00896	-0.4060241	102.015	9.49	0.002155	-0.65	102.015	9.49	0.002155	0.78719395
